title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition
Tortellini Lasagna Skillet,This tortellini lasagna skillet dish is a one pot meal that has the flavor of lasagna without all the work. The creamy cheese-filled tortellini is a perfect substitute for both the noodles and the traditional ricotta filling.,10 mins,50 mins,1 hr,8,"['1 pound ground beef', '2 Italian sausage links', '1 small onion, diced', '6 ounces sliced mushrooms (optional)', '1 pound cheese tortellini', '1 (28 ounce) can crushed tomatoes', '1 (14 1/2 ounce) can diced tomatoes', '1 (8 ounce) can roasted garlic tomato sauce', '3/4 teaspoon Italian seasoning', '1/2 teaspoon granulated garlic', 'salt and freshly ground black pepper to taste', '4 ounces shredded mozzarella cheese', 'chopped parsley, for garnish']","['Preheat the oven to 350 degrees F (180 degrees C).', 'Cook ground beef and sausage in a deep dish skillet over medium heat, breaking up the meat with a spatula, until browned, about 5 minutes. Add onion; cook and stir for 5 minutes. Add mushrooms and cook for 5 minutes more. Drain any excess grease.', 'Stir in tortellini, crushed tomatoes, diced tomatoes, tomato sauce, Italian seasoning, and garlic. Season with salt and pepper. Smooth out mixture in the skillet, and top with mozzarella cheese.', 'Bake in the preheated oven until cheese is melted and golden, about 35 minutes. Garnish with chopped parsley.']","{'Calories': '495', 'Fat': '22g', 'Carbs': '42g', 'Protein': '33g'}"
One Pan Breakfast Skillet Mac and Cheese,"For this breakfast skillet mac and cheese, baked breakfast eggs nestle in a bed of mac and cheese with sausage. And the best part? It cooks completely in the skillet - no extra pot to boil the pasta necessary.",10 mins,25 mins,35 mins,4 to 6,"['1 pound breakfast sausage', '1 1/2 cups milk', '1 cup water', '1 box macaroni and cheese mix, such as Kraft® Macaroni and Cheese', '1 cup shredded Cheddar cheese', '4 large eggs', '1/4 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '2 tablespoons sliced green onions', '1 tablespoon Mexican hot sauce, such as Cholula®']","['Preheat the oven to 400 degrees F (200 degrees C).', 'Heat an ovenproof skillet over medium-high heat. Add sausage and cook, crumbling with a spoon, until browned and no longer pink, about 7 minutes.\xa0Add in macaroni, milk, water, and powdered cheese packet and stir, using a wooden spoon to scrape any browned bits from the bottom of the skillet. Bring mixture to a boil; reduce to a simmer and cook, stirring occasionally, until pasta is just tender and mixture is thick and creamy, about 10 minutes. Stir in 1 cup cheese. Turn off heat.', 'Create 4 wells in the macaroni mixture and crack an egg into each well. Sprinkle remaining cheese around eggs; sprinkle evenly with salt.', 'Bake skillet in the preheated oven until whites are just set, about 5 minutes. Sprinkle evenly with pepper and green onions and drizzle with hot sauce.']","{'Calories': '877', 'Fat': '58g', 'Carbs': '43g', 'Protein': '44g'}"
Creamy Gochujang Spaghetti With Ground Beef,"You'll love this creamy gochujang spaghetti with ground beef. The easy, spicy, creamy marinara gets a rich, spicy kick from red chili paste.",20 mins,25 mins,45 mins,4,"['12 ounces spaghetti', '1 pound ground beef', '1 bell pepper, diced', '1/2 onion, diced', '2 garlic cloves, pressed', '1/4 cup tomato paste', '1/4 cup gochujang red chile paste', '1 1/4 cups heavy cream', 'salt and freshly ground black pepper, to taste', '1/2 cup freshly grated Parmesan cheese']","['Bring a large pot of salted water to a boil, and cook spaghetti, stirring occasionally, until tender with a bite, about 12 minutes. Scoop out 1/2 cup pasta water; set aside. Drain spaghetti.', 'Cook and stir ground beef, bell pepper, and onion together in a large skillet, until meat and vegetables are browned, 6 to 7 minutes. Add garlic and cook until fragrant, about 1 minute. Drain any excess grease and discard.', 'Add tomato paste and gochujang to meat, bring to a simmer, and cook, stirring constantly, about 3 to 4 minutes. Add heavy whipping cream, and cook and stir until fully incorporated. Season with salt and pepper.', 'Add cooked spaghetti to meat mixture; stir in Parmesan cheese. If sauce is too thick, add reserved pasta water, 2 tablespoons at a time, to thin to desired consistency.']","{'Calories': '828', 'Fat': '51g', 'Carbs': '50g', 'Protein': '43g'}"
Unstuffed Shells Pasta Bake,"""This is an Italian classic made so easy!""",15 mins,55 mins,1 hr 10 mins,8,"['12 ounces medium pasta shells', 'cooking spray', '1 tablespoon extra-virgin olive oil', '1 pound ground sirloin', '1 1/4 teaspoons kosher salt, divided, plus more for cooking pasta', '1 teaspoon dried\xa0Italian seasoning, divided', '1/2 teaspoon freshly ground black pepper, divided', '1 yellow onion, chopped', '1 1/2 tablespoons minced garlic, divided', '1 (24 ounce) jar marinara sauce (such as Rao’s)', '1 cup whole-milk ricotta cheese', '1 (8 ounce) package cream cheese, softened', '1/2 cup freshly grated Parmesan cheese', '1/4 cup fresh basil leaves, chopped, plus more for garnish', '1 large egg, lightly beaten', '1 cup shredded low-moisture part-skim mozzarella cheese']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring a large pot of salted water to a boil. Add shells and cook, stirring occasionally, until tender yet firm to the bite, about 9 minutes. Drain well and set pasta aside.', 'Meanwhile, preheat the oven to 350 degrees F (180 degrees F). Lightly grease a 13- x 9-inch oven-safe baking dish with cooking spray; set aside.', 'Heat oil in a large nonstick skillet over medium-high. Add ground sirloin, 1/2 teaspoon salt, 1/2 teaspoon Italian seasoning, and 1/4 teaspoon pepper and cook, stirring occasionally, until beef is lightly browned but not fully cooked through, about 5 minutes. Add onion and 1 tablespoon garlic; cook, stirring occasionally, until onion is softened, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Reduce heat to medium; stir in marinara sauce, and cook, stirring occasionally, just until beginning to simmer, about 3 minutes. Remove from heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While beef mixture cooks, stir together ricotta, cream cheese, Parmesan cheese, basil, egg, remaining 1 1/2 teaspoons garlic, 3/4 teaspoon salt, 1/2 teaspoon Italian seasoning, and 1/4 teaspoon pepper in a large mixing bowl until evenly combined. Gently fold in cooked pasta until evenly coated.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer 1/2 of the beef mixture (about 2 cups) into the prepared baking dish, spreading into an even layer. Top evenly with pasta mixture.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spread remaining beef mixture over pasta layer, and sprinkle evenly with mozzarella cheese.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cover baking dish loosely with aluminum foil. Bake in the preheated oven until bubbling around the edges and cheese is just beginning to melt, about 25 minutes. Uncover and continue to bake until cheese is fully melted and pasta is heated through, about 10 minutes more.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove from oven and serve, garnished with basil.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '508', 'Fat': '30g', 'Carbs': '28g', 'Protein': '32g'}"
Loaded Bacon Ranch Mac and Cheese Casserole,"This loaded bacon ranch mac and cheese casserole adds bacon and ranch, Cheddar cheese, sour cream, chicken, and broccoli to boxed mac and cheese for a rich, full, all-in-one dinner casserole.",15 mins,30 mins,45 mins,8,"['2 boxes white Cheddar macaroni and cheese', '4 ounces cream cheese, softened', '6 tablespoons butter, divided', '3/4 cup milk', '1/2 cup sour cream', '4 ounces Cheddar cheese, shredded, divided', '1 tablespoon dry ranch dressing mix', '2 cups shredded cooked chicken', '1 (12 ounce) package broccoli florets, cooked according to package directions', '8 slices bacon, cooked and crumbled', '1/2 cup green onions, divided', '1 cup panko bread crumbs', '1/4 teaspoon freshly ground black pepper']","['Preheat the oven to 400 degrees F (200 degrees C). Lightly grease a casserole dish.', 'Bring a large pot of salted water to a boil. Add macaroni and cook just until al dente, 5 to 6 minutes. Drain; return macaroni to the pot.', 'Stir in cream cheese, 4 tablespoons butter, milk, and powdered cheese packets included in mac and cheese box until well combined. Stir in sour cream, 3/4 cup Cheddar cheese, and ranch mix until combined. Add in chicken, broccoli, and bacon. Reserve 2 tablespoons green onions and stir in remaining green onions. Pour mixture into a lightly greased casserole dish and sprinkle with remaining cheese.', 'Melt remaining butter and add to a small bowl with panko and pepper. Stir to combine and sprinkle mixture evenly over casserole.', 'Bake in the preheated oven until bubbly and lightly browned, 20 to 25 minutes. Sprinkle with reserved green onions.\n\n From the Editor\nThis is the easiest way to cook bacon when you only need a few slices.']","{'Calories': '707', 'Fat': '43g', 'Carbs': '53g', 'Protein': '28g'}"
Baked Mac and Cheese Bites,"These baked mac and cheese bites, crispy around the edges and soft and melty in the center will be the star at the next tailgate. If you love finger food and mac and cheese, this recipe is for you.",10 mins,25 mins,35 mins,16,"['nonstick cooking spray', '8 ounces elbow macaroni', '2 tablespoons unsalted butter', '2 tablespoons all-purpose flour', '1 1/2 cups milk', '2 cups shredded extra sharp Cheddar cheese, divided', '2 ounces cream cheese', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '1 large egg, beaten']","['Preheat the oven to 400 degrees F (200 degrees C). Spray 2 mini muffin pans with cooking spray.', 'Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes; drain.', 'Melt butter in a large soup pot over medium heat. Whisk in flour until smooth. Add milk and bring to a simmer. Add 1 1/2 cups Cheddar cheese, cream cheese, salt, and pepper. Stir until smooth. Turn heat off.', 'Add drained pasta and beaten egg to cheese sauce and stir until evenly combined.', 'Using a small spoon, divide mixture between mini muffin tins. Sprinkle each mac and cheese bite with remaining Cheddar cheese.', 'Bake in the preheated oven until golden brown, about 16 minutes. Remove from oven and let stand 5 minutes before serving.']","{'Calories': '183', 'Fat': '13g', 'Carbs': '7g', 'Protein': '9g'}"
Turkish Pasta,"This Turkish pasta recipe features a sweet paprika yogurt sauce, ground round, and fusilli pasta.",10 mins,20 mins,30 mins,6,"['2 cups strained Greek yogurt', '3 cloves garlic, finely minced', '2 teaspoons kosher salt, divided, plus more to taste', '5 tablespoons butter', '2 teaspoons sweet paprika, divided', '1 pound fusilli pasta', '1 1/4 pounds ground round', '1 cup chopped onion', '1/4 teaspoon curry powder', '2 teaspoons onion powder', '1/2 teaspoon freshly ground black pepper', '1 pint grape tomatoes, quartered', '1 bunch flat leaf parsley, roughly chopped']","['Stir together yogurt, garlic and 1/2 teaspoon salt in a bowl until well blended and set aside. Melt butter in a small skillet or saucepan and stir in 1/2 teaspoon paprika and salt to taste.\xa0 Keep warm.', 'Bring a large pot of salted water to a boil. Add pasta and cook until al dente, about 9 minutes; drain.', 'Meanwhile, heat a large skillet over medium-high heat. Add ground beef and cook, breaking up meat with a spatula, until beginning to brown. Add onion, remaining paprika, curry powder, onion powder, remaining salt, and pepper and cook until browned, crumbly, and slightly crispy.', 'Divide pasta among serving plates and top evenly with yogurt mixture. Top with ground beef mixture and drizzle evenly with butter mixture. Sprinkle the top with tomatoes and parsley.\n\n \n\n\n\n\n\n \n Dotdash Meredith Video Studios']","{'Calories': '526', 'Fat': '25g', 'Carbs': '34g', 'Protein': '40g'}"
Green Bean Mac and Cheese,"This green bean mac and cheese is a mashup of two favorites, green bean casserole and macaroni and cheese. Topped with crunchy French-fried onions, it is everything you could hope for. The green beans add texture, gorgeous color, and just a hint of delicious bitterness to amplify all the other flavors.",15 mins,45 mins,1 hr 10 mins,10,"['3 tablespoons salt', '1 pound green beans, trimmed', '1 pound elbow macaroni', '1/2 cup unsalted butter', '1/2 cup all-purpose flour', '5 cups cold milk', '2 teaspoons kosher salt', '1/4 teaspoon cayenne pepper', '1/4 teaspoon dried thyme', '1/4 teaspoon white pepper', '1 pinch ground nutmeg', '1 tablespoon Dijon mustard', '1/4 teaspoon Worcestershire sauce', '1 pound extra sharp Cheddar cheese, freshly grated', '1 cup French fried onions, or more as needed']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Bring 3 quarts of generously salted water to a boil on high heat. Add beans and cook until they just start to get tender, but they are not soft, about 4 minutes. Remove with a hand strainer to a bowl; set aside until cool enough to handle. Cut into 1-inch pieces and reserve.', 'Add elbow macaroni to the boiling bean water, and cook 1 minute less than package directions, about 8 minutes. Transfer into a colander, and let drain for 1 minute, then transfer into a large bowl.', 'For best results, make cheese sauce while pasta is cooking: melt butter over medium heat. Whisk in flour, and cook for a few minutes to take raw flavor away from the flour. Add cold milk all at once, and whisk to combine. Continue cooking, stirring occasionally, until mixture comes to a simmer and thickens (heat can be raised to medium-high to save time, if you stir constantly). While sauce is thickening, stir in salt, cayenne, thyme, pepper, nutmeg, Dijon mustard, and Worcestershire sauce.', 'Once mixture is thick, turn off heat and stir in cheese until melted. Add green beans to hot, drained macaroni, pour in cheese sauce, and mix to combine evenly. Transfer into a 9x13-inch baking dish. Place on a sheet pan to catch any drips.', 'Scatter surface evenly with fried onions, and press them lightly into the surface with your fingertips.', ""Bake in the preheated oven until mac and cheese is hot, and the top is browned, about 30 minutes. Let rest for 10 minutes before serving.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note\nPre-grated cheese is covered in a cellulose dust, which can result in an off texture. Grate cheese freshly from a block, just before use, for a nice, creamy sauce.\n\n\n\n From the Editor\nNutrition for this recipe includes the full amount of sodium. Actual amount of sodium consumed will vary.""]","{'Calories': '473', 'Fat': '29g', 'Carbs': '34g', 'Protein': '19g'}"
Chef John's Turkey Manicotti,"When you're looking for something completely different to use up those turkey leftovers, this could be it! A tender, eggy pasta-like crepe enfolds the cheesy, amazing filling. You can make the crepes and filling ahead of time.",20 mins,1 hr,2 hrs 25 mins,6,"['2  eggs', '¾ cup all-purpose flour', '¾ cup water', '½ teaspoon salt', '½ teaspoon olive oil', '1 cup diced cooked turkey', '1 cup whole-milk ricotta cheese', '1  egg', '½ cup freshly shredded Parmigiano-Reggiano cheese', '½ cup shredded mozzarella cheese', '¼ teaspoon dried marjoram', '⅛ teaspoon red pepper flakes', '¼ cup chopped Italian parsley', 'salt to taste', '1 teaspoon olive oil, or as needed', '1 ½ cups marinara sauce, divided', '2 teaspoons olive oil, divided', '⅓ cup freshly shredded Parmigiano-Reggiano cheese', '1 tablespoon freshly shredded Parmigiano-Reggiano cheese for garnish, or as desired', '1 tablespoon chopped Italian parsley']","['Preheat oven to 350 degrees F (175 degrees C).', 'Whisk 2 eggs, flour, water, salt, and 1/2 teaspoon olive oil together thoroughly in a bowl to make a very smooth batter. Cover bowl with plastic wrap and refrigerate batter for 1 hour.', 'Mix turkey, ricotta cheese, 1 egg, 1/2 cup Parmigiano-Reggiano cheese, mozzarella cheese, marjoram, red pepper flakes, and 1/4 cup Italian parsley in a bowl until thoroughly combined. Season with salt to taste.', 'Place a nonstick skillet over medium-high heat and brush generously with 1 teaspoon olive oil or as needed. Swirl about 1/4 cup batter into the bottom of the pan and tilt to form a thin pancake covering the bottom of the skillet. Cook until bottom of crepe is dry, 60 to 90 seconds. Flip crepe and cook until other side has small browned spots, 60 to 90 seconds more. Repeat with remaining batter to make 6 crepes. Transfer crepes to a plate as you make them.', 'Spread about 1/2 cup marinara sauce into the bottom of a 9x12-inch baking dish. Use a brush to spread about 1/2 teaspoon of olive oil in a thin layer up the sides of the dish. Place a crepe, dimpled side down, onto a work surface; spread about 1/3 to 1/2 cup filling onto crepe in a line down the middle. Roll crepe over filling and tuck in ends if desired. Lay filled crepe into the baking dish. Repeat with remaining crepes and filling to make 6 manicotti.', 'Spread remaining 1 cup marinara sauce onto the manicotti in a line down the middle of the crepes, covering middle 1/3 of manicotti. Sprinkle 1/3 cup Parmigiano-Reggiano cheese all over manicotti. Drizzle manicotti with remaining 1 1/2 teaspoon olive oil.', 'Bake in the preheated oven until manicotti are slightly browned and puffy, about 45 minutes. Let stand 5 minutes to cool. Garnish with 1 tablespoon Parmigiano-Reggiano cheese or as desired and 1 tablespoon Italian parsley before serving.']","{'Calories': '286', 'Fat': '13g', 'Carbs': '22g', 'Protein': '20g'}"
Creamy Bacon Pasta Bake,"""Comforting and a nice weeknight meal.""",10 mins,1 hr,1 hr 10 mins,6 (serving size: about 1 1/2 cups),"['8 ounces thick-cut bacon, chopped', '1 yellow onion, finely chopped', '1/4 cup tomato paste', '1/2 teaspoon crushed red pepper', '3 cups chicken broth', '2 cups heavy whipping cream', '1/2 cup dry\xa0white wine', '1 tablespoon kosher salt', '1 cup freshly grated Parmigiano-Reggiano cheese, divided', '1 (1-pound) package spaghetti', '1 tablespoon finely chopped fresh flat-leaf parsley']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat oven to 475 degrees F (245 degrees C). Scatter bacon evenly over the bottom of a 13-x-9-inch baking dish. Bake in the preheated oven, stirring twice during cooking, until bacon is crispy and fat has rendered, 20 to 25 minutes. Remove from the oven and transfer bacon to a small paper-towel-lined plate and set aside. Reduce oven temperature to 425 degrees F (220 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove all but 2 tablespoons of the bacon fat from the baking dish. Add onion, tomato paste, and crushed red pepper to reserved hot bacon fat in the baking dish and stir until onion is well coated in tomato paste.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add chicken broth, cream, wine, salt, 3/4 cup of the Parmigiano-Reggiano, and stir to combine. Spread spaghetti into broth mixture and bake at 425 degrees F (220 degrees C), uncovered, stirring every 8 to 10 minutes, until spaghetti is tender, has absorbed most of the sauce, and the sauce has thickened, 40 to 45 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove and top with 1/4 cup of the reserved bacon, remaining 1/4 cup Parmigiano-Reggiano and parsley.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve immediately, garnishing each serving with more reserved bacon, as desired.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '698', 'Fat': '48g', 'Carbs': '37g', 'Protein': '27g'}"
The Best Million Dollar Spaghetti,"The best million dollar spaghetti is surely this one—a cheesy, meaty, marinara-sauced layered spaghetti casserole fit for a hungry crowd.",20 mins,1 hr,1 hr 25 mins,10,"['1 tablespoon olive oil', '1 small onion, finely chopped', '1 1/4 teaspoons kosher salt, divided', '2 cloves garlic, minced', '1 pound ground sirloin', '1 pound ground Italian sausage', '32 ounces marinara sauce, divided', '16 ounces spaghetti', '5 tablespoons butter, divided', '1 cup cottage cheese', '8 ounces cream cheese, softened', '1/4 cup sour cream', '1/4 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '3 cups shredded mozzarella cheese, divided', '1/3 cup freshly grated Parmesan cheese', 'chopped parsley, for garnish']","['Heat oil in a large saucepan over medium-high heat. Add onion, 1 teaspoon salt, and garlic;\xa0cook until softened, about 3 minutes. Add ground beef and sausage and cook, crumbling with a spoon, until browned, about 5 minutes. Stir in 3 cups marinara sauce; bring to a simmer.\xa0 Reduce heat to low and simmer while pasta cooks.', 'Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a large casserole dish.', 'Bring a large pot of salted water to a boil. Add pasta and cook until just tender with a bite, about 7 minutes. Drain; return spaghetti to the pot. Stir in 3 1/2 tablespoons butter and remaining marinara sauce.', 'Combine cottage cheese, cream cheese, sour cream, remaining salt, pepper, and 1 cup mozzarella in a medium bowl and stir until well incorporated.', 'Add half of pasta to the casserole dish. Spread cheese mixture evenly over pasta. Add remaining pasta; cut remaining 1 1/2 tablespoons butter into thin slices, and arrange over pasta. Top with meat sauce mixture, remaining 2 cups mozzarella, and grated Parmesan cheese. Place casserole dish on a rimmed baking sheet.', 'Bake in the preheated oven until cheese is melted and browned and pasta is bubbling around the edges, 40 to 50 minutes. Let stand 5 to 10 minutes before serving. Sprinkle with parsley if desired.']","{'Calories': '652', 'Fat': '43g', 'Carbs': '29g', 'Protein': '37g'}"
Ham and Butternut Squash Spaghetti,"Despite the rich and decadent mascarpone, the sauce for this spaghetti is actually pretty light; much of the sauce is chicken broth and squash.",15 mins,35 mins,50 mins,4,"['2 tablespoons olive oil', '4 ounces smoked ham, thinly sliced', '3 cloves garlic, thinly sliced', '1 ½ cups chicken broth', '3 cups peeled, seeded, and diced butternut squash', '1 pinch crushed red pepper flakes, or to taste', 'salt, or to taste', '1 teaspoon ground black pepper, or to taste', '1 cup mascarpone cheese', '1 tablespoon chopped Italian flat leaf parsley', '14 ounces spaghetti', 'finely grated Parmigiano-Reggiano cheese']","['Heat olive oil over medium heat in a large skillet. Stir in ham and cook until the edges are slightly browned, about 3 minutes.', 'Stir in garlic; cook until fragrant and edges are barely golden, about 1 minute.', 'Pour chicken broth over ham and garlic; bring to a simmer. Stir in butternut squash, red pepper flakes, and salt. Cook until squash is tender, about 15 minutes. Stir in black pepper and reduce heat to low.', 'Gently stir mascarpone cheese into squash mixture until completely incorporated. Stir in Italian parsley. Remove from heat and cover.', 'Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 12 minutes. Drain and return to pot.', 'Pour butternut-mascarpone sauce over spaghetti, stirring until combined. Sprinkle Parmigiano-Reggiano cheese over spaghetti and serve.']","{'Calories': '808', 'Fat': '41g', 'Carbs': '87g', 'Protein': '25g'}"
Gnocchi Mac and Cheese,"For this gnocchi mac and cheese, I combine two favorites, baking pillowy gnocchi in a rich Cheddar cheese sauce. You won't miss the macaroni at all.",10 mins,25 mins,35 mins,3,"['2 tablespoons butter', '2 tablespoons all-purpose flour', '1/4 cup heavy cream', '1 cup evaporated milk or half-and-half, or more as needed', '1/2 teaspoon Worcestershire sauce', '1/2 teaspoon prepared mustard', '1 cup shredded sharp extra-sharp Cheddar cheese', '2 tablespoons Cheddar cheese powder', '12 ounces refrigerated prepared gnocchi']","['Preheat oven to 375 degrees F (190 degrees C).', 'Melt butter in a saucepan over medium high-heat. Whisk in flour until smooth, and cook about 1 minute.', 'Whisk in cream, evaporated milk, Worcestershire, and mustard. Stir in Cheddar cheese and cheese powder and cook until cheese melts, about 2 minutes. If you prefer a thinner sauce, add evaporated milk, 1 tablespoon at a time, until sauce is the consistency you like.', 'Stir in gnocchi; pour mixture into a small baking dish.', 'Bake in the preheated oven until bubbly, about 20 minutes. Serve immediately.']","{'Calories': '688', 'Fat': '38g', 'Carbs': '61g', 'Protein': '25g'}"
Sheet Pan Summer Gnocchi,"This sheet pan summer gnocchi highlights colorful, vibrant summer vegetables. Adding tomato basil chicken sausage makes it a complete dinner.",10 mins,35 mins,45 mins,4,"['12 ounces prepared gnocchi', '1 zucchini, sliced into 1/2-inch thick coins', '1 summer squash, halved lengthwise, and sliced into 1/2-inch thick half-moons', '1 small onion,\xa0cut into chunks', '1 pint cherry tomatoes, halved', '1 pound tomato basil chicken sausage, cut into 1/2-inch thick coins', '2 tablespoons olive oil', '3 garlic cloves, minced', '1/2 teaspoon Italian seasoning', '3 tablespoons freshly prepared pesto']","['Heat oven to 425 degrees F (220 degrees C).', 'Place gnocchi, zucchini, summer squash, onion, tomatoes, and sausage on a rimmed sheet pan. Drizzle olive oil evenly over mixture. Add garlic and Italian seasoning; toss to coat.', ""Bake in the preheated oven until vegetables are tender, about 35 minutes. Dollop pesto over the mixture, toss to combine, and serve immediately.\n\n From the Editor:\nNever made pesto? Here's how.""]","{'Calories': '550', 'Fat': '25g', 'Carbs': '46g', 'Protein': '36g'}"
Boursin Chicken Baked Ziti,"Ziti and chicken baked in a yummy Boursin sauce? Yes, please! Use leftover, cubed chicken and a cup of fresh, chopped spinach for this dish. We like this with hot garlic bread and a green salad.",15 mins,40 mins,55 mins,4,"['1/2 cup freshly grated pecorino Romano cheese', '2 tablespoons Italian-style breadcrumbs', '1/2 pound ziti pasta', '1 tablespoon unsalted butter', '1/2 cup chopped onion', '1 clove garlic, minced', '1 teaspoon dried Italian herb seasoning', '1/2 teaspoon red pepper flakes, or to taste', '1 cup chopped cooked chicken', '1 cup chopped fresh spinach', '1 1/2 cups heavy cream', '1 (5.2 ounce) package \xa0soft French cheese, such as Boursin® Garlic and Fine Herbs\xa0Cheese', '1/2 cup shredded mozzarella cheese']","['Preheat the oven to 375 degrees F (190 degrees C) and grease an 8x8-inch baking dish.', 'Combine grated pecorino and breadcrumbs in a small bowl; set aside.', 'Bring a large pot of salted water to a boil. Add ziti, and cook until tender with a bite, about 11 minutes. Drain; reserve about 2 tablespoons pasta water.', 'Meanwhile, melt butter in a large nonstick skillet over medium heat. Add chopped onion; cook and stir until onion begins to soften, 2 to 3 minutes. Stir in garlic, herb seasoning, and red pepper flakes, and cook about 30 seconds.', 'Turn off heat. Stir in chicken, spinach, cream, Boursin, and mozzarella, stirring until cheeses are melted and ingredients are well combined.', 'Stir drained ziti into chicken mixture. Loosen the sauce with reserved pasta water, if needed. Pour chicken and sauce mixture into the prepared baking dish. Sprinkle pecorino and bread crumb mixture over the top.', 'Bake in the center of the preheated oven until bubbly and lightly browned, 20 to 30 minutes. Serve warm.']","{'Calories': '655', 'Fat': '49g', 'Carbs': '30g', 'Protein': '25g'}"
Alfredo Gnocchi Bake,"For this Alfredo gnocchi bake made in an 8x8 dish, pillowy soft gnocchi bake in a quickly-made savory, cheesy garlic Alfredo sauce.",10 mins,30 mins,40 mins,5,"['1 tablespoon butter', '3 cloves garlic, minced', '1 cup evaporated milk', '1/4 cup heavy cream', '1 cup freshly shaved Parmesan cheese', '18 ounces refrigerated gnocchi', '1 pinch freshly ground black pepper']","['Preheat the oven to 425 degrees F (220 degrees C). Spray an 8x8-inch baking pan with nonstick spray.', 'Melt butter in a saucepan over medium-high heat. Add garlic and cook and stir until fragrant, about 40 seconds. Stir in evaporated milk and cream. Add Parmesan and stir until smooth.', 'Add gnocchi;\xa0\xa0toss to coat. Pour gnocchi into the prepared pan. Sprinkle with black pepper.', 'Bake in the preheated oven until bubbly, about 25 minutes. Serve hot.']","{'Calories': '420', 'Fat': '17g', 'Carbs': '50g', 'Protein': '16g'}"
Instant Ramen Carbonara,"This instant ramen carbonara is my take on carbonara, made with ingredients you probably have on hand. I grew up eating ramen noodles nearly every day, and am always looking for ways to flavor them without using the seasoning packet.",5 mins,20 mins,25 mins,4,"['6 cups water', '3 (3 ounce) packages instant ramen noodles, seasoning packets discarded', '6 slices thick-cut bacon, chopped', '2 large eggs', '1/2 cup grated Parmesan cheese', '2 tablespoons water', '1/4 teaspoon dried parsley flakes', '1/4 teaspoon freshly ground black pepper', '2 cloves garlic, minced']","['Bring 6 cups water to a boil in a large saucepan. Add noodles and cook for 3 minutes. Drain and set aside.', 'Heat a large skillet over medium-high heat. Add bacon and cook until crisp, stirring often, about 8 minutes. Using a slotted spoon, transfer bacon to a plate lined with paper towels.', 'Whisk eggs, Parmesan, 2 tablespoons water, parsley, and pepper in a mixing bowl. Set aside.', 'Add garlic to the skillet with bacon drippings and cook over medium-high heat for 1 minute. Toss in drained noodles and cook 3 minutes more. Turn off heat.', 'Pour in reserved egg mixture, toss to coat, and let sit 2 minutes before serving.']","{'Calories': '462', 'Fat': '24g', 'Carbs': '42g', 'Protein': '20g'}"
